comuna,isce_total_2018,iscec_total_2017,iscec_total_2016
1.0,0.13074993164984305,0.036150793662055314,0.15960408845080654
2.0,0.10535573779785268,0.05603199942807513,0.08412158566286543
3.0,0.16258938377308874,0.0,0.19585010340060394
4.0,0.3536146325419818,0.25271266265681036,0.3610216337103691
5.0,0.37535790538931635,0.28886369063569606,0.34501161562663585
6.0,0.17070766701711038,0.03135047247633849,0.19344369626982671
7.0,0.33129247528334926,0.30414491327014415,0.37655530330703213
8.0,0.0,0.019648320576548084,0.0
9.0,0.43037598830491985,0.397487166659958,0.4092772912487468
10.0,0.5022467499596424,0.4091698152562857,0.472637381588249
11.0,0.9616478557321133,0.9999999999999998,1.0
12.0,0.5476106310192828,0.45520979596543865,0.5472856536672479
13.0,0.25963667070281105,0.1491887868457631,0.2148026612029761
14.0,1.0,0.9220530323113161,0.954567372909799
15.0,0.554139110601477,0.5403911359555991,0.4545874869413933
16.0,0.5434777154067181,0.42556970257180793,0.5511952545809278
