codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2021,i_2022,i_2023,Shape_Length
1,Popular,0.9895833333333331,0.3363378830800927,0.9188963210702342,0.9999999999999999,1.0000000000000002,0.9782512205947627,1.0,0.7628865979381444,1.0,9604.448561523164
2,Santa Cruz,0.7223307291666665,0.43239763069791404,0.9017558528428095,0.9023031203566122,0.8994823123382227,0.7230359520639149,0.8378985181859003,0.4639175257731959,0.8745737021599091,8597.294373605435
3,Manrique,0.5764973958333331,0.5075972186453773,0.6885451505016722,0.8844725111441307,0.9266609145815359,0.7754105636928541,0.5954198473282444,0.5360824742268041,0.8381962864721486,12077.5591324662
4,Aranjuez,0.5224609374999999,0.3870718516610868,0.6011705685618729,0.6994799405646359,0.5146678170836928,0.6023080337328007,0.37584193982936687,0.3702375616315554,0.4550966275104206,9642.676543479753
5,Castilla,0.2708333333333333,0.2212207056399691,0.14297658862876256,0.3900445765230312,0.40379637618636754,0.3182423435419441,0.12617871576111364,0.18870461676378306,0.422887457370216,16098.03210800692
6,Doce de Octubre,0.5061848958333331,0.446304403811486,0.39590301003344475,0.5044576523031203,0.6475409836065574,0.5730137594318687,0.4759766502020656,0.6154190945764232,0.33042819249715805,10709.846407300312
7,Robledo,0.35221354166666663,0.34869945918104556,0.35911371237458195,0.5111441307578009,0.502588438308887,0.37993786063027074,0.3493488998652896,0.4343343792021515,0.3421750663129974,23265.233431348748
8,Villa Hermosa,0.5390624999999999,0.3932526397115632,0.8545150501672242,0.7228826151560178,0.6091458153580673,0.7594318686196184,0.5981140547822182,0.5589421783953384,0.5399772641151952,16392.858844819497
9,Buenos Aires,0.35221354166666663,0.20164821014679374,0.3469899665551839,0.41233283803863297,0.1199309749784297,0.4007989347536618,0.24921418949259092,0.4123711340206186,0.22963243652898824,18364.90299510415
10,La Candelaria,0.16634114583333331,0.17950038629925313,0.25334448160535117,0.39710252600297175,0.29378774805867125,0.41988459831336,0.36551414458913334,0.30703720304796056,0.16142478211443728,13632.701394923217
11,Laureles Estadio,0.033528645833333336,0.03141900592325522,0.061872909698996656,0.027117384843982174,0.031061259706643668,0.05459387483355526,0.08441850022451727,0.0,0.07540735126942023,16365.175496146
12,La América,0.11555989583333334,0.03553953129023951,0.06270903010033445,0.14338781575037146,0.12812769628990509,0.11051930758988016,0.08756174225415359,0.0008964589870013445,0.0,15425.495027124887
13,San Javier,0.4820963541666667,0.4383208859129539,0.6045150501672241,0.4691679049034175,0.4840379637618637,0.5343985796715491,0.7036371800628649,0.525324966382788,0.43349753694581283,26384.22054676626
14,El Poblado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515469,0.04016672982190224,19965.6870591178
15,Guayabal,0.16829427083333334,0.2747875354107649,0.3979933110367893,0.38670133729569095,0.14797238999137186,0.3382157123834887,0.3650651100134711,0.2519049753473779,0.16483516483516483,13279.243204644288
16,Belén,0.12565104166666666,0.09193922225083699,0.18979933110367891,0.2700594353640416,0.1186367558239862,0.2787394584997781,0.3839245621912888,0.20887494397131334,0.1394467601364153,25695.01663420784
50,San Sebastián de Palmitas,0.9619140624999998,1.0000000000000002,0.8302675585284282,0.6058692421991084,0.6975841242450389,0.8934753661784289,0.7305792546026044,0.6311071268489468,0.575217885562713,38399.21195236707
60,San Cristóbal,0.6077473958333333,0.4558331187226371,0.6124581939799331,0.6166419019316494,0.7415875754961174,0.7075011096316024,0.819488100583745,0.5903182429403856,0.4350132625994695,51162.61742571545
70,Altavista,0.6653645833333331,0.6142158125160958,0.6003344481605352,0.5505200594353641,0.8226919758412424,1.0,0.7269869779973058,0.14791573285522192,0.5126942023493748,35012.58288575261
80,San Antonio de Prado,0.21256510416666663,0.2665464846767963,0.35911371237458195,0.5100297176820209,0.17860224331320107,0.22503328894806926,0.5747642568477773,0.3316898251904975,0.45888594164456237,40472.28393637327
90,Santa Elena,0.9999999999999999,0.5845995364408961,0.9999999999999999,0.7522288261515602,0.9141501294219155,0.725255215268531,0.4867534800179615,1.0000000000000002,0.6392572944297084,66527.05396435653
