comuna,salario
1,1079045.7873754152
2,1169325.1666666667
3,1032674.706430868
4,979575.994
5,1175324.9588235293
6,1256433.0611353712
7,1238479.267
8,1033103.9775641026
9,1254220.7189300412
10,1264285.793478261
11,2049052.6419753083
12,1685030.172
13,1042953.8246753248
14,2843720.2545454544
15,1528079.952830189
16,1586378.7697228144
50,1057554.9787234042
60,935758.6790123456
70,1337140.614
80,1151765.4393939397
90,980544.1666666666
,
